Name,Description,Genre,Director,Duration,ReleasedDate,Language,Country,Trailer,StartDate,Status,ImportPrice,ImagePath
Inception,"A thief who enters the dreams of others to steal their secrets from their subconscious.",Action,Christopher Nolan,148,2010-07-16,English,USA,https://www.youtube.com/watch?v=YoHD9XEInc0,2010-07-16,Released,9.99,images/inception.jpg
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama,Frank Darabont,142,1994-10-14,English,USA,https://www.youtube.com/watch?v=6hB3S9bIaco,1994-10-14,Released,8.99,images/shawshank_redemption.jpg
The Godfather,"An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.",Crime,Francis Ford Coppola,175,1972-03-24,English,USA,https://www.youtube.com/watch?v=sY1S34973zA,1972-03-24,Released,7.99,images/godfather.jpg
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Action,Christopher Nolan,152,2008-07-18,English,USA,https://www.youtube.com/watch?v=EXeTwQWrcwY,2008-07-18,Released,9.99,images/dark_knight.jpg
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Crime,Quentin Tarantino,154,1994-10-14,English,USA,https://www.youtube.com/watch?v=s7EdQ4FqbhY,1994-10-14,Released,8.99,images/pulp_fiction.jpg
Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Biography,Steven Spielberg,195,1994-12-15,English,USA,https://www.youtube.com/watch?v=gG22XNhtnoY,1994-12-15,Released,7.99,images/schindlers_list.jpg
The Lord of the Rings: The Return of the King,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",Adventure,Peter Jackson,201,2003-12-17,English,USA,https://www.youtube.com/watch?v=co9SNfJNDN8,2003-12-17,Released,9.99,images/return_of_the_king.jpg
Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Drama,Robert Zemeckis,142,1994-07-06,English,USA,https://www.youtube.com/watch?v=bLvqoHBptjg,1994-07-06,Released,8.99,images/forrest_gump.jpg
Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Drama,David Fincher,139,1999-10-15,English,USA,https://www.youtube.com/watch?v=SUXWAEX2jlg,1999-10-15,Released,8.99,images/fight_club.jpg
The Matrix,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",Action,Lana Wachowski,136,1999-03-31,English,USA,https://www.youtube.com/watch?v=m8e-FF8MsqU,1999-03-31,Released,7.99,images/matrix.jpg
